City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Biri,PH,80.67,light rain,12.6833,124.3636,Exequiel and Wyn Lodging House
397,Sao Jose Da Coroa Grande,BR,83.12,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
407,Namatanai,PG,79.9,overcast clouds,-3.6667,152.4333,Namatanai Hotel
411,Shafter,US,77.0,clear sky,35.5005,-119.2718,Mucci’s
413,Hoi An,VN,77.0,few clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
418,Faanui,PF,82.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
427,Oriximina,BR,79.5,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
430,Padang,ID,78.8,scattered clouds,-0.9492,100.3543,Mercure Padang
434,Kollegal,IN,75.2,overcast clouds,12.15,77.1167,Hotel Harsha
435,Negombo,LK,86.0,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
438,Vanimo,PG,76.57,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
439,Phan Thiet,VN,80.56,heavy intensity rain,10.9333,108.1,Hotel Saigon-PT
440,Acajutla,SV,80.6,clear sky,13.5928,-89.8275,asi es
446,Cururupu,BR,85.03,moderate rain,-1.8283,-44.8683,Pousada Través'cia
447,Cabinda,AO,81.68,overcast clouds,-5.55,12.2,Hotel Maiombe
450,Agudos,BR,78.01,broken clouds,-22.4692,-48.9875,ARCA HOTEL
455,Aracruz,BR,80.6,scattered clouds,-19.8203,-40.2733,OYO Hotel Iramar
460,Awbari,LY,83.68,overcast clouds,26.5921,12.7805,فندق أوباري
462,Bambanglipuro,ID,75.04,clear sky,-7.95,110.2833,Puri Brata
467,Mahajanga,MG,80.6,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
469,Fraijanes,GT,79.0,overcast clouds,14.4653,-90.4408,PERRULUL Criadero HOSPEDAJE
471,Mulege,MX,82.29,few clouds,26.8833,-111.9833,Casa Granada
472,Tomatlan,MX,87.75,clear sky,19.9333,-105.25,Norma franco
473,Sterling,US,75.0,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
478,Puerto Baquerizo Moreno,EC,84.2,few clouds,-0.9,-89.6,Hotel los Algarrobos
479,Sahuaripa,MX,81.25,few clouds,29.05,-109.2333,Hotel El Molino
