City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Raudeberg,NO,61.9875,5.1352,42.8,87,75,11.5,broken clouds
108,Atuona,PF,-9.8,-139.0333,80.6,71,24,18.54,few clouds
109,Hambantota,LK,6.1241,81.1185,80.47,82,34,12.26,scattered clouds
110,Banda Aceh,ID,5.5577,95.3222,81.25,78,98,7.58,overcast clouds
111,Vrangel,RU,42.7297,133.0839,41.76,60,0,6.98,clear sky
112,Taoudenni,ML,22.6783,-3.9836,98.2,5,0,9.17,clear sky
113,Olafsvik,IS,64.8945,-23.7142,39.97,73,90,14.27,overcast clouds
114,Goderich,CA,43.7501,-81.7165,35.6,60,100,11.5,overcast clouds
115,Marigot,MF,18.0667,-63.0833,86.0,58,40,13.8,scattered clouds
116,East London,ZA,-33.0153,27.9116,64.4,88,20,13.8,light rain
117,Touros,BR,-5.1989,-35.4608,86.0,66,40,16.11,scattered clouds
118,Rancho Palos Verdes,US,33.7445,-118.387,64.99,67,75,9.22,broken clouds
119,Jardim,BR,-21.4803,-56.1381,94.98,21,7,3.42,clear sky
120,Pochutla,MX,15.7432,-96.4661,91.0,51,20,6.91,few clouds
121,Biak,ID,-0.9131,122.8766,76.32,85,96,1.79,overcast clouds
122,Plyussa,RU,58.4308,29.3654,46.18,60,99,6.51,overcast clouds
123,Kuala Terengganu,MY,5.3302,103.1408,80.6,89,20,4.61,few clouds
124,Wenling,CN,28.3669,121.36,57.69,90,7,2.42,clear sky
125,Urengoy,RU,65.9667,78.3667,-0.98,99,50,5.75,scattered clouds
126,Batsfjord,NO,70.6345,29.7185,48.2,56,0,10.36,clear sky
127,Pachora,IN,20.6667,75.35,91.36,21,43,10.25,scattered clouds
128,Ust-Nera,RU,64.5667,143.2,30.13,96,100,5.77,light snow
129,Paldiski,EE,59.3567,24.0531,50.0,40,0,9.22,clear sky
130,Mackay,AU,-21.15,149.2,71.6,83,75,5.75,broken clouds
131,Vidim,RU,56.4088,103.1106,13.26,94,93,2.37,overcast clouds
132,Cravinhos,BR,-21.3403,-47.7294,78.8,44,40,9.22,scattered clouds
133,Berlevag,NO,70.8578,29.0864,48.2,46,0,39.12,clear sky
134,Hermanus,ZA,-34.4187,19.2345,64.0,79,38,1.99,scattered clouds
135,Sur,OM,22.5667,59.5289,83.66,41,76,10.11,broken clouds
136,Cidreira,BR,-30.1811,-50.2056,73.44,54,65,11.1,broken clouds
137,Kruisfontein,ZA,-34.0033,24.7314,66.0,77,89,1.01,light rain
138,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,0,13.8,clear sky
139,Magdagachi,RU,53.45,125.8,26.67,62,12,5.37,few clouds
140,Alofi,NU,-19.0595,-169.9187,73.4,100,75,3.44,light rain
141,Tasiilaq,GL,65.6145,-37.6368,33.82,64,100,2.33,overcast clouds
142,Uvinza,TZ,-5.1036,30.3911,66.36,96,100,4.16,moderate rain
